group,surv.type,pair12,mean1,mean2,mean.diff,pval,pval.adj
HNSC,OS,G-PW,1.6941,1.5537,0.1404,1.713e-80,1.37e-79
HNSC,OS,PW-TRAD,1.5537,1.6035,-0.0498,3.259e-22,9.777e-22
HNSC,OS,G-TRAD,1.6941,1.6035,0.0906,3.58e-26,1.227e-25
KIRC,OS,G-PW,1.7535,1.7496,0.0039,0.946,0.946
KIRC,OS,PW-TRAD,1.7496,1.7273,0.0223,0.004808,0.00577
KIRC,OS,G-TRAD,1.7535,1.7273,0.0262,0.001037,0.00131
KIRC,PFS,G-PW,1.6342,1.6313,0.0029,0.3457,0.3951
KIRC,PFS,PW-TRAD,1.6313,1.6131,0.0182,0.0002104,0.0003156
KIRC,PFS,G-TRAD,1.6342,1.6131,0.0211,0.0004433,0.0005911
KIRP,OS,G-PW,3.5409,3.4546,0.0863,1.101e-05,1.887e-05
KIRP,OS,PW-TRAD,3.4546,3.3255,0.1291,0.6932,0.7562
KIRP,OS,G-TRAD,3.5409,3.3255,0.2154,4.851e-05,7.762e-05
KIRP,PFS,G-PW,2.7288,2.305,0.4238,1.275e-39,6.12e-39
KIRP,PFS,PW-TRAD,2.305,2.4314,-0.1264,3.965e-09,9.516e-09
KIRP,PFS,G-TRAD,2.7288,2.4314,0.2974,1.716e-18,4.576e-18
LIHC,OS,G-PW,1.8656,1.76,0.1056,8.511e-95,1.021e-93
LIHC,OS,PW-TRAD,1.76,1.7856,-0.0256,0.0002687,0.0003793
LIHC,OS,G-TRAD,1.8656,1.7856,0.08,3.82e-34,1.528e-33
LIHC,PFS,G-PW,1.5084,1.6222,-0.1138,7.991e-228,1.918e-226
LIHC,PFS,PW-TRAD,1.6222,1.5908,0.0314,1.104e-07,2.208e-07
LIHC,PFS,G-TRAD,1.5084,1.5908,-0.0824,4.221e-60,2.533e-59
PRAD,PFS,G-PW,2.2352,2.3753,-0.1401,3.997e-08,8.721e-08
PRAD,PFS,PW-TRAD,2.3753,2.3787,-0.0034,0.8423,0.8789
PRAD,PFS,G-TRAD,2.2352,2.3787,-0.1435,1.197e-06,2.21e-06
