group,surv.type,pair12,median1,median2,median.diff,pval,pval.adj
HNSC,OS,G-PW,1.6582,1.5332,0.125,1.713e-80,1.37e-79
HNSC,OS,PW-TRAD,1.5332,1.5925,-0.0593,3.259e-22,9.777e-22
HNSC,OS,G-TRAD,1.6582,1.5925,0.0657,3.58e-26,1.227e-25
KIRC,OS,G-PW,1.6854,1.7064,-0.021,0.946,0.946
KIRC,OS,PW-TRAD,1.7064,1.6696,0.0368,0.004808,0.00577
KIRC,OS,G-TRAD,1.6854,1.6696,0.0158,0.001037,0.00131
KIRC,PFS,G-PW,1.5777,1.6109,-0.0332,0.3457,0.3951
KIRC,PFS,PW-TRAD,1.6109,1.5544,0.0565,0.0002104,0.0003156
KIRC,PFS,G-TRAD,1.5777,1.5544,0.0233,0.0004433,0.0005911
KIRP,OS,G-PW,3.4725,3.2764,0.1961,1.101e-05,1.887e-05
KIRP,OS,PW-TRAD,3.2764,3.2633,0.0131,0.6932,0.7562
KIRP,OS,G-TRAD,3.4725,3.2633,0.2092,4.851e-05,7.762e-05
KIRP,PFS,G-PW,2.6798,2.2103,0.4695,1.275e-39,6.12e-39
KIRP,PFS,PW-TRAD,2.2103,2.3493,-0.139,3.965e-09,9.516e-09
KIRP,PFS,G-TRAD,2.6798,2.3493,0.3305,1.716e-18,4.576e-18
LIHC,OS,G-PW,1.8203,1.7193,0.101,8.511e-95,1.021e-93
LIHC,OS,PW-TRAD,1.7193,1.7445,-0.0252,0.0002687,0.0003793
LIHC,OS,G-TRAD,1.8203,1.7445,0.0758,3.82e-34,1.528e-33
LIHC,PFS,G-PW,1.4572,1.5912,-0.134,7.991e-228,1.918e-226
LIHC,PFS,PW-TRAD,1.5912,1.5496,0.0416,1.104e-07,2.208e-07
LIHC,PFS,G-TRAD,1.4572,1.5496,-0.0924,4.221e-60,2.533e-59
PRAD,PFS,G-PW,2.1401,2.2714,-0.1313,3.997e-08,8.721e-08
PRAD,PFS,PW-TRAD,2.2714,2.3698,-0.0984,0.8423,0.8789
PRAD,PFS,G-TRAD,2.1401,2.3698,-0.2297,1.197e-06,2.21e-06
